case_id,question_ar,department_code,department_ar,operational_metric,operational_metric_ar,synthetic_value,unit,risk_status,question_tool,question_tool_type,question_type,list,answer_type,intent,cognitive_level,subjectivity,temporal_context,expected_time_scope,purpose_context,bi_purpose_target,expected_answer_form,reference_answer_ar,direct_answer_without_conditioning_ar,conditioned_answer_ar,answer_form_adherent_without,answer_form_adherent_with,temporal_adherent_without,temporal_adherent_with,purpose_aligned_without,purpose_aligned_with,split,notes,AAFAQ_QuestionID,AAFAQ_QuestionText,AAFAQ_QuestionParticle,AAFAQ_QuestionParticleType,AAFAQ_QuestionType,AAFAQ_List,AAFAQ_AnswerType,AAFAQ_Intent,AAFAQ_CognitiveLevel,AAFAQ_Category,AAFAQ_ComplexityLevel,AAFAQ_Subjectivity,AAFAQ_TemporalContext,AAFAQ_PurposeContext,AAFAQ_AnswerSourceText,AAFAQ_Answer
HBI-0086,ما القرار التشغيلي المناسب إذا استمر متوسط تأخر صرف الدواء في قسم الأشعة للأسبوع القادم في المنطقة أ؟,RAD,قسم الأشعة,pharmacy delay,متوسط تأخر صرف الدواء,55,دقيقة,متوسط,ما,imperative_like_request,non_factoid,single,description,planning,evaluation,objective,future,للأسبوع القادم,decision_making,decision_support,short_explanatory_sentence,بناءً على قيمة متوسط تأخر صرف الدواء في قسم الأشعة للأسبوع القادم وهي 55 دقيقة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,في العام الماضي كان متوسط تأخر صرف الدواء في قسم الأشعة قريبًا من 55 دقيقة مع تغيرات موسمية.,بناءً على قيمة متوسط تأخر صرف الدواء في قسم الأشعة للأسبوع القادم وهي 55 دقيقة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,0,1,0,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600086,ما القرار التشغيلي المناسب إذا استمر متوسط تأخر صرف الدواء في قسم الأشعة للأسبوع القادم في المنطقة أ؟,ما,أداة استفهام,غير واقعي,FALSE,وصف,تخطيط,تقييم,الصحة,عالي,موضوعي,مستقبل,اتخاذ القرارات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في قسم الأشعة، كانت قيمة متوسط تأخر صرف الدواء 55 دقيقة ضمن النطاق الزمني (للأسبوع القادم). حالة المخاطر التشغيلية: متوسط. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,بناءً على قيمة متوسط تأخر صرف الدواء في قسم الأشعة للأسبوع القادم وهي 55 دقيقة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.
HBI-0087,أي إجراء يجب اتخاذه لتحسين زمن إنجاز تقارير الأشعة في العناية المركزة في الربع الأول من 2026 في المنطقة د؟,ICU,العناية المركزة,radiology turnaround time,زمن إنجاز تقارير الأشعة,5.5,ساعة,متوسط,أي,imperative_like_request,non_factoid,single,description,planning,evaluation,objective,specific_time,في الربع الأول من 2026,decision_making,decision_support,short_explanatory_sentence,بناءً على قيمة زمن إنجاز تقارير الأشعة في العناية المركزة في الربع الأول من 2026 وهي 5.5 ساعة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,في العام الماضي كان زمن إنجاز تقارير الأشعة في العناية المركزة قريبًا من 5.5 ساعة مع تغيرات موسمية.,زمن إنجاز تقارير الأشعة هو مؤشر تشغيلي يعبر عن أداء الخدمة في العناية المركزة.,1,1,0,1,1,0,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600087,أي إجراء يجب اتخاذه لتحسين زمن إنجاز تقارير الأشعة في العناية المركزة في الربع الأول من 2026 في المنطقة د؟,أي,أداة استفهام,غير واقعي,FALSE,وصف,تخطيط,تقييم,الصحة,عالي,موضوعي,وقت محدد,اتخاذ القرارات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في العناية المركزة، كانت قيمة زمن إنجاز تقارير الأشعة 5.5 ساعة ضمن النطاق الزمني (في الربع الأول من 2026). حالة المخاطر التشغيلية: متوسط. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,بناءً على قيمة زمن إنجاز تقارير الأشعة في العناية المركزة في الربع الأول من 2026 وهي 5.5 ساعة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.
HBI-0088,ما القرار التشغيلي المناسب إذا استمر زمن إنجاز تقارير الأشعة في الصيدلية في الربع الأول من 2026؟,PHARM,الصيدلية,radiology turnaround time,زمن إنجاز تقارير الأشعة,11.4,ساعة,مرتفع,هل,imperative_like_request,non_factoid,single,description,planning,evaluation,objective,specific_time,في الربع الأول من 2026,decision_making,decision_support,short_explanatory_sentence,بناءً على قيمة زمن إنجاز تقارير الأشعة في الصيدلية في الربع الأول من 2026 وهي 11.4 ساعة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,في العام الماضي كان زمن إنجاز تقارير الأشعة في الصيدلية قريبًا من 11.4 ساعة مع تغيرات موسمية.,بناءً على قيمة زمن إنجاز تقارير الأشعة في الصيدلية في الربع الأول من 2026 وهي 11.4 ساعة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,1,1,0,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600088,ما القرار التشغيلي المناسب إذا استمر زمن إنجاز تقارير الأشعة في الصيدلية في الربع الأول من 2026؟,ما,أداة استفهام,غير واقعي,FALSE,وصف,تخطيط,تقييم,الصحة,عالي,موضوعي,وقت محدد,اتخاذ القرارات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في الصيدلية، كانت قيمة زمن إنجاز تقارير الأشعة 11.4 ساعة ضمن النطاق الزمني (في الربع الأول من 2026). حالة المخاطر التشغيلية: مرتفع. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,بناءً على قيمة زمن إنجاز تقارير الأشعة في الصيدلية في الربع الأول من 2026 وهي 11.4 ساعة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.
HBI-0089,كيف يمكن تقليل نسبة إلغاء العمليات في قسم الطوارئ الشهر الماضي؟,ED,قسم الطوارئ,surgery cancellation rate,نسبة إلغاء العمليات,9.1,%,متوسط,كيف,implicit_question,non_factoid,single,reason,suggestion,analysis,objective,past,الشهر الماضي,problem_solving,decision_support,reasoned_explanation,القيمة المسجلة لـ نسبة إلغاء العمليات في قسم الطوارئ الشهر الماضي هي 9.1 %. يشير المستوى متوسط إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,القيمة المسجلة لـ نسبة إلغاء العمليات في قسم الطوارئ الشهر الماضي هي 9.1 %. يشير المستوى متوسط إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,القيمة المسجلة لـ نسبة إلغاء العمليات في قسم الطوارئ الشهر الماضي هي 9.1 %. يشير المستوى متوسط إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,1,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600089,كيف يمكن تقليل نسبة إلغاء العمليات في قسم الطوارئ الشهر الماضي؟,كيف,أداة استفهام,غير واقعي,FALSE,سبب,اقتراح,تحليل,الصحة,متوسط,موضوعي,ماضي,حل المشكلات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في قسم الطوارئ، كانت قيمة نسبة إلغاء العمليات 9.1 % ضمن النطاق الزمني (الشهر الماضي). حالة المخاطر التشغيلية: متوسط. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,القيمة المسجلة لـ نسبة إلغاء العمليات في قسم الطوارئ الشهر الماضي هي 9.1 %. يشير المستوى متوسط إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.
HBI-0090,ما هو متوسط وقت انتظار الطوارئ في العيادات الخارجية للأسبوع القادم خلال الوردية الصباحية؟,OPD,العيادات الخارجية,emergency waiting time,متوسط وقت انتظار الطوارئ,45,دقيقة,متوسط,ما,simple_interrogative,factoid,single,number,information,comprehension,objective,future,للأسبوع القادم,information_gathering,reporting,numeric_value_with_unit,متوسط وقت انتظار الطوارئ في العيادات الخارجية للأسبوع القادم يساوي 45 دقيقة، ويصنف تشغيليًا بأنه متوسط.,في العام الماضي كان متوسط وقت انتظار الطوارئ في العيادات الخارجية قريبًا من 45 دقيقة مع تغيرات موسمية.,متوسط وقت انتظار الطوارئ في العيادات الخارجية للأسبوع القادم يساوي 45 دقيقة، ويصنف تشغيليًا بأنه متوسط.,1,1,0,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600090,ما هو متوسط وقت انتظار الطوارئ في العيادات الخارجية للأسبوع القادم خلال الوردية الصباحية؟,ما,أداة استفهام,واقعي,FALSE,رقم,معلوماتي,فهم,الصحة,منخفض,موضوعي,مستقبل,جمع المعلومات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في العيادات الخارجية، كانت قيمة متوسط وقت انتظار الطوارئ 45 دقيقة ضمن النطاق الزمني (للأسبوع القادم). حالة المخاطر التشغيلية: متوسط. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,متوسط وقت انتظار الطوارئ في العيادات الخارجية للأسبوع القادم يساوي 45 دقيقة، ويصنف تشغيليًا بأنه متوسط.
HBI-0091,هل هو متوسط مدة الإقامة في قسم الولادة الشهر الماضي؟,MAT,قسم الولادة,length of stay,متوسط مدة الإقامة,4.2,يوم,متوسط,هل,simple_interrogative,factoid,single,number,information,comprehension,objective,past,الشهر الماضي,information_gathering,reporting,numeric_value_with_unit,متوسط مدة الإقامة في قسم الولادة الشهر الماضي يساوي 4.2 يوم، ويصنف تشغيليًا بأنه متوسط.,متوسط مدة الإقامة في قسم الولادة الشهر الماضي يساوي 4.2 يوم، ويصنف تشغيليًا بأنه متوسط.,متوسط مدة الإقامة في قسم الولادة الشهر الماضي يساوي 4.2 يوم، ويصنف تشغيليًا بأنه متوسط.,1,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600091,هل هو متوسط مدة الإقامة في قسم الولادة الشهر الماضي؟,هل,أداة استفهام,واقعي,FALSE,رقم,معلوماتي,فهم,الصحة,منخفض,موضوعي,ماضي,جمع المعلومات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في قسم الولادة، كانت قيمة متوسط مدة الإقامة 4.2 يوم ضمن النطاق الزمني (الشهر الماضي). حالة المخاطر التشغيلية: متوسط. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,متوسط مدة الإقامة في قسم الولادة الشهر الماضي يساوي 4.2 يوم، ويصنف تشغيليًا بأنه متوسط.
HBI-0092,هل قيمة معدل إشغال الأسرة في العناية المركزة خلال الشهر الماضي في المنطقة أ؟,ICU,العناية المركزة,bed occupancy,معدل إشغال الأسرة,74.9,%,منخفض,هل,imperative_like_request,factoid,single,number,information,comprehension,objective,past,الشهر الماضي,information_gathering,reporting,numeric_value_with_unit,معدل إشغال الأسرة في العناية المركزة الشهر الماضي يساوي 74.9 %، ويصنف تشغيليًا بأنه منخفض.,معدل إشغال الأسرة في العناية المركزة الشهر الماضي يساوي 74.9 %، ويصنف تشغيليًا بأنه منخفض.,معدل إشغال الأسرة في العناية المركزة الشهر الماضي يساوي 74.9 %، ويصنف تشغيليًا بأنه منخفض.,1,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600092,هل قيمة معدل إشغال الأسرة في العناية المركزة خلال الشهر الماضي في المنطقة أ؟,هل,أداة استفهام,واقعي,FALSE,رقم,معلوماتي,فهم,الصحة,منخفض,موضوعي,ماضي,جمع المعلومات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في العناية المركزة، كانت قيمة معدل إشغال الأسرة 74.9 % ضمن النطاق الزمني (الشهر الماضي). حالة المخاطر التشغيلية: منخفض. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,معدل إشغال الأسرة في العناية المركزة الشهر الماضي يساوي 74.9 %، ويصنف تشغيليًا بأنه منخفض.
HBI-0093,كيف يمكن تقليل متوسط وقت انتظار الطوارئ في قسم الولادة اليوم في المنطقة هـ؟,MAT,قسم الولادة,emergency waiting time,متوسط وقت انتظار الطوارئ,75,دقيقة,مرتفع,ما,imperative_like_request,non_factoid,single,reason,suggestion,analysis,objective,present,اليوم,problem_solving,decision_support,reasoned_explanation,القيمة المسجلة لـ متوسط وقت انتظار الطوارئ في قسم الولادة اليوم هي 75 دقيقة. يشير المستوى مرتفع إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,القيمة المسجلة لـ متوسط وقت انتظار الطوارئ في قسم الولادة اليوم هي 75 دقيقة. يشير المستوى مرتفع إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,القيمة المسجلة لـ متوسط وقت انتظار الطوارئ في قسم الولادة اليوم هي 75 دقيقة. يشير المستوى مرتفع إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,1,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600093,كيف يمكن تقليل متوسط وقت انتظار الطوارئ في قسم الولادة اليوم في المنطقة هـ؟,كيف,أداة استفهام,غير واقعي,FALSE,سبب,اقتراح,تحليل,الصحة,متوسط,موضوعي,حاضر,حل المشكلات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في قسم الولادة، كانت قيمة متوسط وقت انتظار الطوارئ 75 دقيقة ضمن النطاق الزمني (اليوم). حالة المخاطر التشغيلية: مرتفع. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,القيمة المسجلة لـ متوسط وقت انتظار الطوارئ في قسم الولادة اليوم هي 75 دقيقة. يشير المستوى مرتفع إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.
HBI-0094,ما القرار التشغيلي المناسب إذا استمر نسبة عدم الحضور للمواعيد في قسم الولادة للأسبوع القادم خلال الوردية المسائية؟,MAT,قسم الولادة,no-show rate,نسبة عدم الحضور للمواعيد,27.2,%,مرتفع,هل,imperative_like_request,non_factoid,single,boolean,planning,evaluation,objective,future,للأسبوع القادم,decision_making,decision_support,yes_no_with_brief_rationale,بناءً على قيمة نسبة عدم الحضور للمواعيد في قسم الولادة للأسبوع القادم وهي 27.2 %، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,الوضع في قسم الولادة يحتاج إلى متابعة عامة لأن المؤشر يبدو غير مستقر.,بناءً على قيمة نسبة عدم الحضور للمواعيد في قسم الولادة للأسبوع القادم وهي 27.2 %، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,0,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600094,ما القرار التشغيلي المناسب إذا استمر نسبة عدم الحضور للمواعيد في قسم الولادة للأسبوع القادم خلال الوردية المسائية؟,ما,أداة استفهام,غير واقعي,FALSE,نعم/لا,تخطيط,تقييم,الصحة,عالي,موضوعي,مستقبل,اتخاذ القرارات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في قسم الولادة، كانت قيمة نسبة عدم الحضور للمواعيد 27.2 % ضمن النطاق الزمني (للأسبوع القادم). حالة المخاطر التشغيلية: مرتفع. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,بناءً على قيمة نسبة عدم الحضور للمواعيد في قسم الولادة للأسبوع القادم وهي 27.2 %، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.
HBI-0095,هل قيمة نسبة إلغاء العمليات في العناية المركزة خلال الشهر الماضي؟,ICU,العناية المركزة,surgery cancellation rate,نسبة إلغاء العمليات,4.0,%,منخفض,هل,implicit_question,factoid,single,number,information,comprehension,objective,past,الشهر الماضي,information_gathering,reporting,numeric_value_with_unit,نسبة إلغاء العمليات في العناية المركزة الشهر الماضي يساوي 4.0 %، ويصنف تشغيليًا بأنه منخفض.,نسبة إلغاء العمليات في العناية المركزة الشهر الماضي يساوي 4.0 %، ويصنف تشغيليًا بأنه منخفض.,نسبة إلغاء العمليات في العناية المركزة الشهر الماضي يساوي 4.0 %، ويصنف تشغيليًا بأنه منخفض.,1,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600095,هل قيمة نسبة إلغاء العمليات في العناية المركزة خلال الشهر الماضي؟,هل,أداة استفهام,واقعي,FALSE,رقم,معلوماتي,فهم,الصحة,منخفض,موضوعي,ماضي,جمع المعلومات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في العناية المركزة، كانت قيمة نسبة إلغاء العمليات 4.0 % ضمن النطاق الزمني (الشهر الماضي). حالة المخاطر التشغيلية: منخفض. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,نسبة إلغاء العمليات في العناية المركزة الشهر الماضي يساوي 4.0 %، ويصنف تشغيليًا بأنه منخفض.
HBI-0096,هل هو زمن إنجاز تقارير الأشعة في قسم الأشعة للأسبوع القادم؟,RAD,قسم الأشعة,radiology turnaround time,زمن إنجاز تقارير الأشعة,9.7,ساعة,مرتفع,هل,implicit_question,factoid,single,number,information,comprehension,objective,future,للأسبوع القادم,information_gathering,reporting,numeric_value_with_unit,زمن إنجاز تقارير الأشعة في قسم الأشعة للأسبوع القادم يساوي 9.7 ساعة، ويصنف تشغيليًا بأنه مرتفع.,يجب إعادة توزيع الموارد فورًا بناءً على زمن إنجاز تقارير الأشعة.,زمن إنجاز تقارير الأشعة في قسم الأشعة للأسبوع القادم يساوي 9.7 ساعة، ويصنف تشغيليًا بأنه مرتفع.,1,1,1,1,0,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600096,هل هو زمن إنجاز تقارير الأشعة في قسم الأشعة للأسبوع القادم؟,هل,أداة استفهام,واقعي,FALSE,رقم,معلوماتي,فهم,الصحة,منخفض,موضوعي,مستقبل,جمع المعلومات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في قسم الأشعة، كانت قيمة زمن إنجاز تقارير الأشعة 9.7 ساعة ضمن النطاق الزمني (للأسبوع القادم). حالة المخاطر التشغيلية: مرتفع. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,زمن إنجاز تقارير الأشعة في قسم الأشعة للأسبوع القادم يساوي 9.7 ساعة، ويصنف تشغيليًا بأنه مرتفع.
HBI-0097,لماذا ارتفع نسبة إلغاء العمليات في الصيدلية للأسبوع القادم؟,PHARM,الصيدلية,surgery cancellation rate,نسبة إلغاء العمليات,8.7,%,متوسط,كيف,imperative_like_request,non_factoid,single,description,suggestion,analysis,objective,future,للأسبوع القادم,problem_solving,decision_support,short_explanatory_sentence,القيمة المسجلة لـ نسبة إلغاء العمليات في الصيدلية للأسبوع القادم هي 8.7 %. يشير المستوى متوسط إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,القيمة المسجلة لـ نسبة إلغاء العمليات في الصيدلية للأسبوع القادم هي 8.7 %. يشير المستوى متوسط إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,القيمة المسجلة لـ نسبة إلغاء العمليات في الصيدلية للأسبوع القادم هي 8.7 %. يشير المستوى متوسط إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,1,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600097,لماذا ارتفع نسبة إلغاء العمليات في الصيدلية للأسبوع القادم؟,لماذا,أداة استفهام,غير واقعي,FALSE,وصف,اقتراح,تحليل,الصحة,متوسط,موضوعي,مستقبل,حل المشكلات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في الصيدلية، كانت قيمة نسبة إلغاء العمليات 8.7 % ضمن النطاق الزمني (للأسبوع القادم). حالة المخاطر التشغيلية: متوسط. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,القيمة المسجلة لـ نسبة إلغاء العمليات في الصيدلية للأسبوع القادم هي 8.7 %. يشير المستوى متوسط إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.
HBI-0098,ما السبب المحتمل لتغير متوسط وقت انتظار الطوارئ في العناية المركزة اليوم؟,ICU,العناية المركزة,emergency waiting time,متوسط وقت انتظار الطوارئ,30,دقيقة,منخفض,لماذا,implicit_question,non_factoid,single,reason,suggestion,analysis,objective,present,اليوم,problem_solving,decision_support,reasoned_explanation,القيمة المسجلة لـ متوسط وقت انتظار الطوارئ في العناية المركزة اليوم هي 30 دقيقة. يشير المستوى منخفض إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,القيمة المسجلة لـ متوسط وقت انتظار الطوارئ في العناية المركزة اليوم هي 30 دقيقة. يشير المستوى منخفض إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,القيمة المسجلة لـ متوسط وقت انتظار الطوارئ في العناية المركزة اليوم هي 30 دقيقة. يشير المستوى منخفض إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,1,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600098,ما السبب المحتمل لتغير متوسط وقت انتظار الطوارئ في العناية المركزة اليوم؟,ما,أداة استفهام,غير واقعي,FALSE,سبب,اقتراح,تحليل,الصحة,متوسط,موضوعي,حاضر,حل المشكلات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في العناية المركزة، كانت قيمة متوسط وقت انتظار الطوارئ 30 دقيقة ضمن النطاق الزمني (اليوم). حالة المخاطر التشغيلية: منخفض. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,القيمة المسجلة لـ متوسط وقت انتظار الطوارئ في العناية المركزة اليوم هي 30 دقيقة. يشير المستوى منخفض إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.
HBI-0099,أي إجراء يجب اتخاذه لتحسين معدل إشغال الأسرة في الصيدلية في الربع الأول من 2026؟,PHARM,الصيدلية,bed occupancy,معدل إشغال الأسرة,73.2,%,منخفض,ما,simple_interrogative,non_factoid,single,description,planning,evaluation,objective,specific_time,في الربع الأول من 2026,decision_making,decision_support,short_explanatory_sentence,بناءً على قيمة معدل إشغال الأسرة في الصيدلية في الربع الأول من 2026 وهي 73.2 %، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,بناءً على قيمة معدل إشغال الأسرة في الصيدلية في الربع الأول من 2026 وهي 73.2 %، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,بناءً على قيمة معدل إشغال الأسرة في الصيدلية في الربع الأول من 2026 وهي 73.2 %، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,1,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600099,أي إجراء يجب اتخاذه لتحسين معدل إشغال الأسرة في الصيدلية في الربع الأول من 2026؟,أي,أداة استفهام,غير واقعي,FALSE,وصف,تخطيط,تقييم,الصحة,عالي,موضوعي,وقت محدد,اتخاذ القرارات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في الصيدلية، كانت قيمة معدل إشغال الأسرة 73.2 % ضمن النطاق الزمني (في الربع الأول من 2026). حالة المخاطر التشغيلية: منخفض. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,بناءً على قيمة معدل إشغال الأسرة في الصيدلية في الربع الأول من 2026 وهي 73.2 %، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.
HBI-0100,لماذا ارتفع نسبة عدم الحضور للمواعيد في العناية المركزة الشهر الماضي في المنطقة ج؟,ICU,العناية المركزة,no-show rate,نسبة عدم الحضور للمواعيد,24.4,%,مرتفع,ما,implicit_question,non_factoid,single,reason,suggestion,analysis,objective,past,الشهر الماضي,problem_solving,decision_support,reasoned_explanation,القيمة المسجلة لـ نسبة عدم الحضور للمواعيد في العناية المركزة الشهر الماضي هي 24.4 %. يشير المستوى مرتفع إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,نسبة عدم الحضور للمواعيد هو مؤشر تشغيلي يعبر عن أداء الخدمة في العناية المركزة.,القيمة المسجلة لـ نسبة عدم الحضور للمواعيد في العناية المركزة الشهر الماضي هي 24.4 %. يشير المستوى مرتفع إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,0,1,0,1,0,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600100,لماذا ارتفع نسبة عدم الحضور للمواعيد في العناية المركزة الشهر الماضي في المنطقة ج؟,لماذا,أداة استفهام,غير واقعي,FALSE,سبب,اقتراح,تحليل,الصحة,متوسط,موضوعي,ماضي,حل المشكلات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في العناية المركزة، كانت قيمة نسبة عدم الحضور للمواعيد 24.4 % ضمن النطاق الزمني (الشهر الماضي). حالة المخاطر التشغيلية: مرتفع. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,القيمة المسجلة لـ نسبة عدم الحضور للمواعيد في العناية المركزة الشهر الماضي هي 24.4 %. يشير المستوى مرتفع إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.
HBI-0101,هل يظهر تقرير الأداء عن نسبة إلغاء العمليات في المختبر اليوم خلال الوردية الصباحية؟,LAB,المختبر,surgery cancellation rate,نسبة إلغاء العمليات,15.9,%,مرتفع,هل,imperative_like_request,factoid,single,number,information,comprehension,objective,present,اليوم,information_gathering,reporting,numeric_value_with_unit,نسبة إلغاء العمليات في المختبر اليوم يساوي 15.9 %، ويصنف تشغيليًا بأنه مرتفع.,الوضع في المختبر يحتاج إلى متابعة عامة لأن المؤشر يبدو غير مستقر.,نسبة إلغاء العمليات في المختبر اليوم يساوي 15.9 %، ويصنف تشغيليًا بأنه مرتفع.,0,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600101,هل يظهر تقرير الأداء عن نسبة إلغاء العمليات في المختبر اليوم خلال الوردية الصباحية؟,هل,أداة استفهام,واقعي,FALSE,رقم,معلوماتي,فهم,الصحة,منخفض,موضوعي,حاضر,جمع المعلومات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في المختبر، كانت قيمة نسبة إلغاء العمليات 15.9 % ضمن النطاق الزمني (اليوم). حالة المخاطر التشغيلية: مرتفع. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,نسبة إلغاء العمليات في المختبر اليوم يساوي 15.9 %، ويصنف تشغيليًا بأنه مرتفع.
